Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-09-02","1,721","3,187","1.35","3","1,333","66","11","30","478"
"2016-09-03","1,634","4,530","1.92","4","1,327","113","0","0","382"
"2016-09-04","1,692","4,791","2.03","5","1,314","103","7","16","449"
"2016-09-05","1,342","137","0.06","0","1,429","11","0","0","26"
"2016-09-06","1,711","7,566","3.88","3","1,350","35","21","34","468"
"2016-09-07","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-08","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-09","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-10","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-11","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-12","1,812","4,137","1.75","10","1,273","136","16","15","591"
"2016-09-13","1,600","4,284","1.86","8","1,360","80","0","0","277"
"2016-09-14","1,712","4,983","2.11","6","1,440","0","0","0","0"
"2016-09-15","1,613","3,193","1.35","4","1,440","0","0","0","0"
"2016-09-16","1,628","4,829","2.16","5","1,440","0","0","0","0"
"2016-09-17","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-18","1,413","1,350","0.57","2","1,405","35","0","0","114"
"2016-09-19","1,493","2,103","0.89","3","1,369","71","0","0","210"
"2016-09-20","1,411","1,385","0.59","2","1,407","33","0","0","111"
"2016-09-21","1,599","4,091","1.73","3","1,341","91","5","3","343"
"2016-09-22","1,606","4,694","2.03","7","1,332","108","0","0","365"
"2016-09-23","1,651","4,872","2.09","5","1,305","135","0","0","423"
"2016-09-24","1,765","8,228","4.35","3","1,378","3","6","53","443"
"2016-09-25","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-26","1,803","5,887","2.49","22","1,440","0","0","0","0"
"2016-09-27","1,687","6,085","2.63","4","1,440","0","0","0","0"
"2016-09-28","1,456","5,476","2.32","7","1,440","0","0","0","0"
"2016-09-29","1,321","0","0","0","1,440","0","0","0","0"
"2016-09-30","1,321","726","0.31","2","1,440","0","0","0","0"
"2016-10-01","1,640","5,144","2.2","8","1,440","0","0","0","0"
"2016-10-02","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-03","1,524","2,793","1.18","5","1,357","83","0","0","255"
"2016-10-04","1,567","2,657","1.13","4","1,361","79","0","0","256"
"2016-10-05","1,631","3,938","1.67","3","1,327","113","0","0","377"
"2016-10-06","1,320","0","0","0","1,440","0","0","0","0"
"2016-10-07","1,753","6,884","2.99","9","1,277","141","10","12","551"
"2016-10-08","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-09","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-10","1,601","3,584","1.52","6","1,339","78","18","5","359"
"2016-10-11","1,562","3,637","1.54","3","1,376","64","0","0","222"
"2016-10-12","1,847","4,996","2.14","6","1,440","0","0","0","0"
"2016-10-13","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-14","1,525","2,726","1.16","7","1,421","19","0","0","62"
"2016-10-15","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-16","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-17","1,723","3,934","1.67","4","1,283","137","20","0","500"
"2016-10-18","1,705","3,851","1.63","8","1,312","99","26","3","481"
"2016-10-19","1,709","5,931","2.54","10","1,181","117","20","1","485"
"2016-10-20","1,717","4,824","2.04","5","1,308","120","7","5","493"
"2016-10-21","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-22","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-23","1,321","0","0","0","1,440","0","0","0","0"
"2016-10-24","1,320","0","0","0","1,440","0","0","0","0"
"2016-10-25","1,320","0","0","0","1,440","0","0","0","0"
"2016-10-26","1,320","0","0","0","1,440","0","0","0","0"
"2016-10-27","1,657","5,241","2.22","6","1,440","0","0","0","0"
"2016-10-28","1,842","7,105","3.03","13","1,440","0","0","0","0"
"2016-10-29","1,425","1,631","0.69","2","1,440","0","0","0","0"
"2016-10-30","1,323","0","0","0","1,440","0","0","0","0"
"2016-10-31","1,659","4,206","1.78","10","1,440","0","0","0","0"


